acpipmi.c	AcpiPmipIoctlSetConfiguration(__int64 a1, __int64 a2)
afd.c	AfdRioCreateCq_filt_1(signed int **a1, __int64 a2)
afd.c	AfdRioCreateCompletionQueue_filt_0(signed int **a1, __int64 a2)
afd.c	AfdTdiSetDualInet(__int64 a1, unsigned __int8 a2)
afd.c	AfdTdiSetInet4Mapped(__int64 a1)
afd.c	AfdCopyCMSGBuffer(__int64 a1, unsigned __int64 a2, unsigned int a3)
afd.c	AfdCopyCMSGBuffer32(__int64 a1, __int64 a2, unsigned __int64 a3)
afd.c	WskProTLCreateConnectComplete(PIRP Irp, NTSTATUS a2, __int64 a3, __int64 a4)
afd.c	WskTdiTLHybridCreateEndpoint(__int64 a1, unsigned __int16 a2, unsigned __int16 a3, __int16 a4, __int64 a5, __int64 a6, __int64 a7)
afd.c	WskTdiTLHybridCreateEndpointComplete(__int64 a1, int a2, __int64 a3, __int64 a4)
afd.c	AfdSynchronousTlCreateRequestComplete(__int64 a1, int a2, __int64 a3, __int64 a4)
afd.c	RtlStringCbCopyNW(wchar_t *pszDest, size_t cbDest, const wchar_t *pszSrc, size_t cbSrc)
afd.c	AfdSqmSetString(__int64 a1, int a2, __int64 a3)
afd.c	AfdCopyBufferArrayToBuffer(void *Dst, unsigned int a2, __int64 a3, int a4)
afd.c	AfdCopyMdlChainToBufferArray(signed __int64 a1, unsigned int a2, SIZE_T Length, __int64 a4, unsigned int a5, unsigned int Lengtha)
afd.c	AfdCreate(PIRP Irp, __int64 a2)
afd.c	AfdSetContext(__int64 a1, __int64 a2, char a3, const void *a4, unsigned int Size, unsigned __int64 a6, unsigned int a7, LARGE_INTEGER a8)
afd.c	AfdPcwAddGlobalCounterSet(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
afd.c	WskKnrRpcOpenBinding(__int64 a1, int a2)
afd.c	KnrNrpCreateBinding(__int64 a1, int a2)
afd.c	AfdReadSingleParameter(HANDLE KeyHandle, const WCHAR *a2, unsigned int a3)
afd.c	ReadUlongFromKey(HANDLE KeyHandle, const WCHAR *a2, __int64 a3)
afd.c	AfdSetContext_filt_0(signed int **a1, __int64 a2)
afd.c	AfdTdiCreateAO(__int64 a1, __int64 a2, signed int a3, void *a4, int a5, __int64 a6, __int64 a7, __int64 a8, char a9, __int64 a10)
afd.c	AfdTdiSetEventHandlers(__int64 a1, char a2)
afd.c	AfdFastIoRead(__int64 a1, __int64 a2, int a3, __int64 a4, __int64 a5, __int64 a6, __int64 a7)
afd.c	AfdSetEventHandler(struct _FILE_OBJECT *a1, int a2, __int64 a3, __int64 a4)
afd.c	AfdSetInLineMode(__int64 a1, unsigned __int8 a2)
afd.c	AfdSetSecurity(__int64 a1, int a2, void *a3)
afd.c	AfdDoMdlReadComplete(PSLIST_ENTRY ListEntry)
afd.c	AfdLRMdlReadComplete(PSLIST_ENTRY ListEntry)
afd.c	AfdMdlReadComplete(PVOID Object, __int64 a2, __int64 a3)
afd.c	AfdTPacketsBufferRead(__int64 a1, __int64 a2)
afd.c	AfdTPacketsMdlRead(__int64 a1, __int64 a2)
afd.c	AfdSanCreateHelper(PIRP Irp, __int64 a2, const UNICODE_STRING *a3)
afd.c	AfdSanFastSetServiceProcess(__int64 a1, __int64 a2, __int64 a3, __int64 a4, int a5, int a6, __int64 a7, __int64 a8)
afd.c	AfdWskNdkOpenAdapter(__int64 a1, unsigned int a2, unsigned int a3, __int64 a4)
afd.c	WskTdiCreateAO(__int64 a1, void *a2, __int64 a3)
afd.c	WskTdiCreateCO(int a1, __int64 a2, __int64 a3, __int64 a4)
afd.c	WskTdiFlushReadyEndpoints(__int64 a1)
afd.c	WskTdiPopulateReadyEndpoints(__int64 a1, __int64 a2)
afd.c	WskTdiSetEventHandlers(__int64 a1, __int64 a2, __int16 a3)
afd.c	WskTdiWQRoutineEndpointCreate(__int64 a1)
afd.c	AfdTliIoControlHandleSetQoS(char a1, char a2, __int64 a3, __int64 a4)
afd.c	AfdTliIoControlHandleSetQoS_filt_0(signed int **a1, __int64 a2)
afd.c	AfdSqmSetTdiFilterName(__int64 a1)
afd.c	AfdTLCreateEndpoint(__int64 Irp, __int16 a2, __int16 a3, __int64 a4, struct _IRP *Irpa, __int64 a6, __int64 a7, __int64 a8)
afd.c	AfdCompleteTLEndpCreate(PSLIST_ENTRY ListEntry, __int64 a2)
afd.c	AfdTLCreateEndpointComplete(PIRP Irp, int a2, __int64 a3, __int64 a4)
afd.c	AfdCopyMdlChainToMdlChain(__int64 a1, unsigned int a2, __int64 a3, unsigned int a4, unsigned int a5, __int64 a6)
afd.c	AfdSetInformation(__int64 a1, __int64 a2, char a3, unsigned __int64 a4, unsigned int a5, __int64 a6, __int64 a7, __int64 a8)
afd.c	AfdSetupReceiveDatagramIrp(PIRP Irp, PVOID SourceBuffer, ULONG SourceBytesToCopy, __int64 a4, int a5, void *Src, size_t Size, int a8, int a9, char a10)
afd.c	AfdCreateConnection(int a1, __int64 a2, char a3, int a4)
afd.c	AfdSetupAcceptEndpoint(__int64 a1, __int64 a2, __int64 a3)
afd.c	AfdTLCopyRemoteAndLocalAddresses(__int64 a1, void *a2, unsigned int a3, const void *a4, unsigned int Size, __int64 a6)
afd.c	AfdDoDatagramConnect(__int64 a1, __int64 a2, __int64 a3, unsigned int a4, unsigned __int8 a5)
afd.c	AfdSetInformation_filt_0(signed int **a1, __int64 a2)
afd.c	AfdDoListenBacklogReplenish(__int64 a1)
afd.c	AfdJoinInviteSetup(__int64 a1, __int64 a2)
afd.c	AfdSetupConnectDataBuffers(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
afd.c	AfdTLResumeConnectionSetup(__int64 a1, __int64 a2, int a3)
afd.c	CopyConnectDataBuffers(__int64 a1)
afd.c	CopySingleConnectDataBuffer(__int64 a1, __int64 a2)
afd.c	AfdSaveReceivedConnectData(PVOID *a1, int a2, const void *a3, unsigned int a4)
afd.c	AfdSetConnectData(__int64 a1, int a2, PVOID VirtualAddress, __int64 Length, int a5, __int64 VirtualAddressa, ULONG Lengtha, __int64 a8)
afd.c	AfdSetConnectData_filt_0(signed int **a1, __int64 a2)
afd.c	AfdSetQos(PIRP Irp, __int64 a2)
afd.c	AfdSetQos32(__int64 a1, __int64 a2)
afd.c	AfdRestartMdlReadComplete(__int64 a1, struct _IRP *a2, void *a3)
afd.c	AfdRestartTPacketsBufferRead(__int64 a1, __int64 a2, __int64 a3)
afd.c	AfdRestartTPacketsMdlRead(__int64 a1, __int64 a2, __int64 a3)
afd.c	AfdTPacketsContinueAfterRead(__int64 a1)
afd.c	WskTdiEHReceiveDatagram(void *Src, signed int a2, __int64 a3, ULONG SourceBytesToCopy, __int64 Srca, int a6, int SourceBytesToCopya, __int64 a8, PVOID SourceBuffer, __int64 SourceBuffera, __int64 a11)
afd.c	AfdSanFastCompleteAccept(__int64 a1, unsigned __int16 a2, PVOID SourceBuffer, __int64 SourceBytesToCopy, int a5, __int64 SourceBuffera, ULONG SourceBytesToCopya, __int64 a8)
afd.c	AfdSanFastSetEvents(__int64 a1, unsigned __int16 a2, KPROCESSOR_MODE a3, unsigned __int64 a4, int a5, int a6, PVOID Object, PVOID Objecta)
afd.c	AfdSanFastSetEvents_filt_1(signed int **a1, __int64 a2)
afd.c	AfdSanFastSetEvents_filt_0(signed int **a1, __int64 a2)
afd.c	AfdSanSetAskDupeToServiceState(__int64 a1)
afd.c	AfdSanSetDupingToServiceState(__int64 a1)
afd.c	AfdOpenRegistry(UNICODE_STRING *a1, HANDLE *a2)
agilevpn.c	AgileVpnCmCreateVc(__int64 a1, __int64 a2, __int64 a3)
agilevpn.c	AgileVpnCmOpenAf(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
agilevpn.c	BwcCreateLine(__int64 a1, __int64 a2)
agilevpn.c	QosLineCreate(void *a1, __int64 a2, __int64 a3)
agilevpn.c	QosTimerConvertPerformanceCounterToMicroseconds(__int64 a1, __int64 a2)
agilevpn.c	SetInformation(__int64 a1, __int64 a2, int a3, __int64 a4, unsigned int a5, __int64 a6, __int64 a7)
agilevpn.c	IPsecDecryptCompleteCallback(int a1, __int64 a2, __int64 a3)
agilevpn.c	BwcCreateFlow(__int64 a1, __int64 a2)
agilevpn.c	BwcNblAppendNblsMoveLast(__int64 a1, __int64 a2)
agilevpn.c	BwcSetTimer(__int64 a1, unsigned __int64 a2, unsigned __int64 a3)
agilevpn.c	SetAllParameters(__int64 a1, __int64 a2, __int64 a3, __int64 a4, int a5, __int64 a6, __int64 a7, int a8)
agilevpn.c	QosFlowCreate(void *a1)
agilevpn.c	QosUtilSetTokenSpec(__int64 a1, __int64 a2, char a3)
agilevpn.c	AgileVpnCreate(__int64 a1, __int64 a2)
agilevpn.c	ReadRegistrySettings(__int64 a1, int *a2, __int64 a3)
agilevpn.c	AgileVpnMpSetOptions(__int64 a1)
agilevpn.c	RemoveDormantTSNodes(__int64 a1, __int64 a2)
agilevpn.c	AgileVpnCreateTunnel@<rax>(unsigned int a1@<edx>, __int64 a2@<rcx>, __int64 a3@<rbp>)
agilevpn.c	AgileVpnSetupWfpCallouts@<rax>(__int64 a1@<rbp>)
AGP440.c	AgpSetAperture(__int64 a1, __int64 a2, __int64 a3)
AGP440.c	Agp440SetGTLB_Enable(__int64 a1, char a2)
AGP440.c	Agp440SetRate(__int64 a1, unsigned int a2, __int64 a3)
AGP440.c	ApGetSetDeviceBusData(__int64 a1, char a2, __int64 a3, __int64 a4, int a5)
AGP440.c	AgpLibReadAgpTargetConfig(__int64 a1, __int64 a2, unsigned int a3)
AGP440.c	AgpLibSetAgpCapability(__int64 a1, __int64 a2, __int64 a3)
AGP440.c	ApSetTargetCapability(__int64 a1, __int64 a2)
AGP440.c	ApLegacySetBusData(__int64 a1, __int64 a2, __int64 a3)
AGP440.c	AgpVerifierSetTargetCapability(__int64 a1, __int64 a2)
AGP440.c	AgpSetEventCompletion(__int64 a1, __int64 a2, struct _KEVENT *a3)
AGP440.c	Agp440CreateGart(__int64 a1)
AGP440.c	AgpOpenKey(PCWSTR SourceString, void *a2, HANDLE *a3, __int64 a4)
AGP440.c	AgpInterfaceSetRate(__int64 a1, int a2, __int64 a3)
AGP440.c	AgpSetWmiDataBlock(struct _DEVICE_OBJECT *a1, struct _IRP *a2, int a3)
ahcache.c	AhcpStoreKeySave(__int64 a1, __int64 a2)
ahcache.c	AhcpStoreKeyLoad(__int64 a1, __int64 a2)
ahcache.c	AhcStoreCreate(__int64 a1, signed __int64 a2, __int64 a3, __int64 a4, __int64 a5, __int64 a6, __int64 a7, __int64 a8, __int64 a9)
ahcache.c	AhcStoreSave(__int64 a1, __int64 a2)
ahcache.c	AhcStoreLoad(__int64 a1, __int64 a2)
ahcache.c	AhcLockCreate(__int64 a1)
ahcache.c	AhcOpenRegKey(__int64 a1, ACCESS_MASK a2, HANDLE *a3)
ahcache.c	AhcReadQwordFromKey(HANDLE KeyHandle, __int64 a2)
ahcache.c	AhcpCacheEntryCopy(__int64 a1, __int64 a2)
ahcache.c	AhcpCacheEntrySave(__int64 a1, __int64 a2)
ahcache.c	AhcpCacheEntryLoad(__int64 a1, __int64 a2)
ahcache.c	AhcCacheReadRegistry(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
ahcache.c	AhcCacheSave(PERESOURCE *a1, __int64 a2)
ahcache.c	AhcServiceCreate(__int64 a1, __int64 a2, __int64 a3)
ahcache.c	AhcpMessageCreateBasic(__int64 a1, unsigned __int64 a2)
ahcache.c	AhcMessageCreateExe(__int64 a1, __int64 a2, __int16 a3, __int64 a4, __int64 a5, int a6)
ahcache.c	AhcpCdbEntryCopy(__int64 a1, __int64 a2)
ahcache.c	AhcpCdbEntrySave(__int64 a1, __int64 a2)
ahcache.c	AhcpCdbEntryLoad(__int64 a1, __int64 a2)
ahcache.c	AhcpCdbLoadFileTimeFromRegistry(void *Dst, __int64 a2)
ahcache.c	AhcCdbCreate(__int64 a1)
ahcache.c	AhcpCdbLoadFromPdb(__int64 a1, __int64 a2, unsigned int a3)
ahcache.c	AhcpCdbLoadDb(__int64 a1, __int64 a2)
ahcache.c	AhcDriverDispatchCreate(__int64 a1, __int64 a2)
ahcache.c	AhcpReadQuirkData(__int64 a1, unsigned int a2, __int64 a3)
ahcache.c	AhcpLoadQuirksFromDb(__int64 a1, __int64 a2)
ahcache.c	SdbReadWORDTag@<rax>(unsigned int a1@<edx>, __int64 a2@<rcx>, __int16 a3@<r8w>, unsigned int a4@<r11d>)
ahcache.c	SdbReadDWORDTag@<rax>(unsigned int a1@<edx>, __int64 a2@<rcx>, int a3@<r8d>, unsigned int a4@<r11d>)
ahcache.c	SdbReadQWORDTag@<rax>(unsigned int a1@<edx>, __int64 a2@<rcx>, unsigned int a3@<r11d>)
ahcache.c	SdbpReadTagData@<rax>(unsigned int a1@<edx>, __int64 a2@<rcx>, void *a3@<r8>, unsigned int a4@<r11d>)
ahcache.c	SdbpReadStringRef@<rax>(unsigned int a1@<edx>, __int64 a2@<rcx>, unsigned int a3@<r11d>)
ahcache.c	SdbReadStringTag@<rax>(unsigned int a1@<edx>, __int64 a2@<rcx>, void *a3@<r8>, unsigned int a4@<r11d>)
ahcache.c	SdbReadBinaryTag@<rax>(unsigned int a1@<edx>, __int64 a2@<rcx>, void *a3@<r8>, unsigned int a4@<r11d>)
ahcache.c	SdbOpenDatabase(const WCHAR *a1)
ahcache.c	SdbCloseDatabaseRead(PVOID P)
ahcache.c	SdbpOpenAndMapDB(__int64 a1, const WCHAR *a2)
ahcache.c	SdbpOpenAndMapFile(PCWSTR SourceString, void *Dst)
amdk8.c	AmdK8SetPerfState(__int64 a1, __int64 a2, __int64 a3)
amdk8.c	DoFidVidTransitionAndPollStatus(unsigned __int64 a1)
amdk8.c	DoFidVidTransitionAndPollStatusWithDelayAndRetry(unsigned __int64 a1)
amdk8.c	ReadIoMemRaw(__int64 a1)
amdk8.c	ReadGenAddr(__int64 a1)
amdk8.c	SaveDevExt(__int64 a1, unsigned int a2)
amdk8.c	EvtDeviceSetPower(__int64 a1, __int64 a2)
amdk8.c	ProcLibTraceCStateDomainRundown(__int64 a1)
amdk8.c	ProcLibTracePStateDomainRundown(__int64 a1)
amdk8.c	PepRegisterSpmSettings(__int64 a1)
amdk8.c	SetPerfStateIO(__int64 a1, unsigned int a2, __int64 a3)
amdk8.c	SetPerfStateFFH(__int64 a1, __int64 a2)
amdk8.c	PerfReadActualMasterCount(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
amdk8.c	PerfReadWrappingCounter(__int64 a1, char a2, __int64 a3, __int64 a4)
amdk8.c	CpcReadFeedback(int (*a1)(void))
amdk8.c	CpcReadFeedbackAcquireCallback(__int64 a1, int (*a2)(void))
amdk8.c	ProcLibDeviceCreate(PVOID DeferredContext)
amdk8.c	ValidatePerfDomainSymmetry(__int64 a1)
amdk8.c	DecodeAcpi2CState(__int64 a1, __int64 a2, __int64 a3, __int64 a4, __int64 a5, __int64 a6, __int64 a7)
amdk8.c	RegisterKernelIdleDomains(__int64 a1)
amdk8.c	DeregisterKernelIdleDomains(__int64 a1)
amdk8.c	UpdateKernelIdleDomains(__int64 a1)
amdk8.c	InitAcpiIdleDomain(__int64 a1, __int64 a2, __int64 a3)
amdk8.c	InitAcpiProcessorDomains(__int64 a1)
amdk8.c	RegisterXsdDomain(__int64 a1)
amdk8.c	GetPerfDomain(__int64 a1, __int64 a2, __int64 a3)
amdk8.c	PepNotifyQuerySettingHandle(__int64 a1, __int64 a2)
amdk8.c	DecodeAcpiPStates(__int64 a1, __int64 a2, __int64 a3, __int64 a4, __int64 a5, __int64 a6, __int64 a7)
amdk8.c	DecodeAcpiTStates(__int64 a1, __int64 a2, __int64 a3, __int64 a4, __int64 a5, __int64 a6, __int64 a7)
amdk8.c	DecodeControlStatusRegisterIo(__int64 a1, char a2, __int64 a3, __int64 a4, __int64 a5)
amdppm.c	PerfReadWrappingCounter(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
amdppm.c	ReadGenAddr(__int64 a1)
amdppm.c	CpcReadFeedbackAcquireCallback(__int64 a1, int (*a2)(void))
amdppm.c	CpcReadFeedback(int (*a1)(void))
amdppm.c	SetFFHPState(__int64 a1, char a2)
amdppm.c	SetPerformanceBoostMode(int a1, __int64 a2)
amdppm.c	EvtDeviceSetPower(__int64 a1, __int64 a2)
amdppm.c	ProcLibTraceCStateDomainRundown(__int64 a1)
amdppm.c	ProcLibTracePStateDomainRundown(__int64 a1)
amdppm.c	ReadIoMemRaw(__int64 a1)
amdppm.c	PepRegisterSpmSettings(__int64 a1)
amdppm.c	PerfReadActualMasterCount(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
amdppm.c	SetPerfStateFFH(__int64 a1, __int64 a2)
amdppm.c	SetPerfStateIO(__int64 a1, unsigned int a2, __int64 a3)
amdppm.c	InitAcpiIdleDomain(__int64 a1, __int64 a2, __int64 a3)
amdppm.c	ValidateAcpiIdleDomain(unsigned int *a1, __int64 a2)
amdppm.c	DecodeAcpi2CState(__int64 a1, __int64 a2, __int64 a3, __int64 a4, __int64 a5, __int64 a6, __int64 a7)
amdppm.c	DeregisterKernelIdleDomains(__int64 a1)
amdppm.c	InitAcpiProcessorDomains(__int64 a1)
amdppm.c	ValidatePerfDomainSymmetry(__int64 a1)
amdppm.c	RegisterKernelIdleDomains(__int64 a1)
amdppm.c	UpdateKernelIdleDomains(__int64 a1)
amdppm.c	GetPerfDomain(__int64 a1, __int64 a2, __int64 a3)
amdppm.c	ProcLibDeviceCreate(PVOID DeferredContext)
amdppm.c	DecodeDoorbellAddressIo(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
amdppm.c	DecodeDoorbellAddressMemory(__int64 a1, __int64 a2, __int64 a3, __int64 a4)
amdppm.c	DeregisterIdleDomain(__int64 a1, __int64 a2)
amdppm.c	InitAcpiThrottleDomain(__int64 a1)
amdppm.c	RegisterXsdDomain(__int64 a1)
amdppm.c	PepNotifyQuerySettingHandle(__int64 a1, __int64 a2)
amdppm.c	DecodeAcpiPStates(__int64 a1, __int64 a2, __int64 a3, __int64 a4, __int64 a5, __int64 a6, __int64 a7)
amdppm.c	DecodeAcpiTStates(__int64 a1, __int64 a2, __int64 a3, __int64 a4, __int64 a5, __int64 a6, __int64 a7)
amdppm.c	DecodeControlStatusRegisterIo(__int64 a1, char a2, __int64 a3, __int64 a4, __int64 a5)
amdsbs.c	mccSaveReqInfo(struct _cc_def *a1, struct req *a2)
amdsbs.c	CamALPEPortToOpenALP(struct _ATA_PORT *a1)
amdsbs.c	CamPmReadPSCR1ErrorDone(void *a1, struct _CAM_ATATASK *a2)
amdsbs.c	CamPmReadERRORInfoDone(void *a1, struct _CAM_ATATASK *a2)
amdsbs.c	CamCheckSigReadyRoutine(void *a1, void *a2, void *a3)
amdsbs.c	CamDeviceReady(struct _CAM_DEVICE *a1)
amdsbs.c	CamCheckDevReadyRoutine(void *a1, void *a2, void *a3)
amdsbs.c	CamCheckPHYReadyRoutine(void *a1, void *a2, void *a3)
amdsbs.c	CamAtaDoTagCommand(struct _CAM_DEVICE *a1, struct _CAM_ATATASK *a2)
amdsbs.c	CamAhciSaveRestorePortSpeed(struct _CAM_COMPONENT_EXTENSION *a1, int a2)
amdsbs.c	EXP_CAM_DIMMRead(void *a1, void *a2, unsigned int a3, unsigned int a4)
amdsbs.c	CamAhciCheckDeviceReady(struct _CAM_DEVICE *a1)
amdsbs.c	CamAhciSetCommListOverride(struct _ATA_PORT *a1)
amdsbs.c	DM_AvlDataCopy(struct _DM *a1, void **a2, void **a3)
amdsbs.c	GenTaskDirectlyFromMapWithLoadBalancing(struct _RaidEngine *a1, struct seq *a2, struct array *a3, struct map *a4, unsigned __int8 a5, struct _StripeLines *a6, struct _StripeLines *a7)
amdsbs.c	GenDoubleTaskDirectlyFromMap(struct _RaidEngine *a1, struct seq *a2, struct array *a3, struct map *a4, unsigned __int8 a5, int a6, struct _StripeLines *a7, struct req *a8)
amdsbs.c	SetArrayConfig(struct _RaidEngine *a1, struct req *a2)
amdsbs.c	bgaQuickInitDone(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	bgaFullInitForeLoopDone(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	bgaMigrationReadDone(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	bgaMigrationWriteDone(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	bgaMigrationLoopDone(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	EngBgaMigrationReadSectorSkipped(__int64 a1, unsigned __int8 a2, __int64 a3, unsigned __int16 a4)
amdsbs.c	GetPhysicalDriveSetting(struct _RaidEngine *a1, __int64 a2, struct _PHYSICAL_DRIVE_SETTING *a3)
amdsbs.c	ControllerSettingChangeEvent(struct _RaidEngine *a1, struct req *a2)
amdsbs.c	ccmdSetGlobalConfig(struct _RaidEngine *a1, struct req *a2, __int64 a3)
amdsbs.c	MakeStreamTemporarilyDown(struct _RaidEngine *a1, unsigned __int8 a2, int a3, unsigned __int8 a4, struct TempDownContext *a5)
amdsbs.c	blMarkStreamTempAccessDone(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	AccessErrorFixDone(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	SetupOsAccess(struct _RaidEngine *a1, struct req *a2, struct TempDownContext *a3)
amdsbs.c	scsiRead10(struct _RaidEngine *a1, struct req *a2, __int64 a3)
amdsbs.c	scsiReadCapacity(struct _RaidEngine *a1, struct req *a2, __int64 a3)
amdsbs.c	OsReadVerifyAccessOnTaskError(struct _RaidEngine *a1, struct req *a2, struct dtask *a3)
amdsbs.c	scsiReadCapacity16(struct _RaidEngine *a1, struct req *a2, __int64 a3)
amdsbs.c	CreateNonDMASafeQueue(struct _RaidEngine *a1, __int64 a2, int a3, int a4)
amdsbs.c	SetArrayStatus(struct _RaidEngine *a1, unsigned __int8 a2)
amdsbs.c	EngSetBlockDown(struct _RaidEngine *a1, __int64 a2, unsigned __int8 a3)
amdsbs.c	EngSetDiskDown(struct _RaidEngine *a1, char a2, int a3, int a4)
amdsbs.c	TranslateToACMDSaveMDD(struct _RaidEngine *a1, struct req *a2, char a3, int a4)
amdsbs.c	bWillThisDiskDownResultAnyArrayOffline(struct _RaidEngine *a1, char a2)
amdsbs.c	SetMappingMode(struct _RaidEngine *a1, struct array *a2)
amdsbs.c	CreateDiskBitmapForArray(struct _RaidEngine *a1, unsigned __int8 a2)
amdsbs.c	pGenerateReadWriteReq(struct _RaidEngine *a1, __int64 a2, char a3, unsigned int a4, unsigned __int32 a5, unsigned __int16 a6)
amdsbs.c	UpdateReadWriteReq(struct req *a1, unsigned int a2, int a3, unsigned __int16 a4)
amdsbs.c	CopyPRD(struct _SG64 **a1, struct _SG64 **a2, int a3, unsigned int a4)
amdsbs.c	V2MDD_UpdateDataDone(struct _RaidEngine *a1, __int64 a2, char a3, __int64 a4, unsigned __int16 a5, __int64 a6, __int64 a7, __int64 a8, __int64 a9, __int64 a10, __int64 a11, unsigned __int8 a12)
amdsbs.c	blCopyMemoryFromDimmToLocal(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	blCopyMemoryFromLocalToDimm(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	blEndSaveMDD(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	blUpdateDiskMDDDone(struct _RaidEngine *a1, struct seq *a2, __int64 a3)
amdsbs.c	blSaveDiskMDDReadErrorCheckPoint(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	SaveDiskMDD(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	blUpdateBlockIDForDiskMDDSave(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	ccmdSaveDiskMDDOnTaskError(struct _RaidEngine *a1, struct req *a2, struct dtask *a3)
amdsbs.c	ccmdSaveDiskMDD(struct _RaidEngine *a1, struct req *a2)
amdsbs.c	DebuggingReadDone(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	DebuggingReadWriteBlocks(struct _RaidEngine *a1, struct req *a2, __int64 a3)
amdsbs.c	DebuggingReadLongDone(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	blDebuggingWriteReadDimmUpdate(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	blDebuggingWriteReadDimmCheckCRC(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	DebuggingWriteReadDimm(struct _RaidEngine *a1, struct req *a2)
amdsbs.c	EXP_ENG_GetDiskIDofJBOD(void *a1, unsigned __int8 a2)
amdsbs.c	EngSetJBODDefaultAryName(struct _RaidEngine *a1, unsigned __int8 a2, struct array *a3)
amdsbs.c	blPrepareReadConfig(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	blInitSetDiskWriteCache(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	ReadDiskConfig(struct _RaidEngine *a1, struct seq *a2)
amdsbs.c	ConstructRaidReadyStructure(struct _RaidEngine *a1, unsigned __int8 a2, struct block *a3)
amdsbs.c	ccmdInitConfigDone(struct _RaidEngine *a1, struct req *a2, int a3)
